YEAR JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC AVE
2021	261.582	263.014	264.877	267.054	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020	257.971	258.678	258.115	256.389	256.394	257.797	259.101	259.918	260.280	260.388	260.229	260.474	258.811
2019	251.712	252.776	254.202	255.548	256.092	256.143	256.571	256.558	256.759	257.346	257.208	256.974	255.657
2018	247.867	248.991	249.554	250.546	251.588	251.989	252.006	252.146	252.439	252.885	252.038	251.233	251.107
2017	242.839	243.603	243.801	244.524	244.733	244.955	244.786	245.519	246.819	246.663	246.669	246.524	245.120
2016	236.916	237.111	238.132	239.261	240.229	241.018	240.628	240.849	241.428	241.729	241.353	241.432	240.008
2015	233.707	234.722	236.119	236.599	237.805	238.638	238.654	238.316	237.945	237.838	237.336	236.525	237.017
2014	233.916	234.781	236.293	237.072	237.900	238.343	238.250	237.852	238.031	237.433	236.151	234.812	236.736
2013	230.280	232.166	232.773	232.531	232.945	233.504	233.596	233.877	234.149	233.546	233.069	233.049	232.957
2012	226.665	227.663	229.392	230.085	229.815	229.478	229.104	230.379	231.407	231.317	230.221	229.601	229.594
2011	220.223	221.309	223.467	224.906	225.964	225.722	225.922	226.545	226.889	226.421	226.230	225.672	224.939
2010	216.687	216.741	217.631	218.009	218.178	217.965	218.011	218.312	218.439	218.711	218.803	219.179	218.056
2009	211.143	212.193	212.709	213.240	213.856	215.693	215.351	215.834	215.969	216.177	216.330	215.949	214.537
2008	211.080	211.693	213.528	214.823	216.632	218.815	219.964	219.086	218.783	216.573	212.425	210.228	215.303
2007	202.416	203.499	205.352	206.686	207.949	208.352	208.299	207.917	208.490	208.936	210.177	210.036	207.342
2006	198.300	198.700	199.800	201.500	202.500	202.900	203.500	203.900	202.900	201.800	201.500	201.800	201.600
2005	190.700	191.800	193.300	194.600	194.400	194.500	195.400	196.400	198.800	199.200	197.600	196.800	195.300
2004	185.200	186.200	187.400	188.000	189.100	189.700	189.400	189.500	189.900	190.900	191.000	190.300	188.900
2003	181.700	183.100	184.200	183.800	183.500	183.700	183.900	184.600	185.200	185.000	184.500	184.300	183.960
2002	177.100	177.800	178.800	179.800	179.800	179.900	180.100	180.700	181.000	181.300	181.300	180.900	179.880
2001	175.100	175.800	176.200	176.900	177.700	178.000	177.500	177.500	178.300	177.700	177.400	176.700	177.070
2000	168.800	169.800	171.200	171.300	171.500	172.400	172.800	172.800	173.700	174.000	174.100	174.000	172.200
